,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
95,2025-05-02,307.8,299.96,307.8,299.7,5981323145.999999,19751770.0,-0.27417022280146564,311.9785714285714,305.947,-3.5585011460321425,7.559263470109257,321.0655269402185,290.8284730597815,302.97281047813414,5.700309785177228
96,2025-05-03,299.9,300.7,302.24,299.52,885285489.1000004,2942530.0,0.036143221674683756,309.69428571428574,306.3715,-2.411334055127554,6.962034846977454,320.2955696939549,292.44743030604513,301.45760349271137,5.702781974322617
97,2025-05-04,300.7,301.8,302.78,300.02,864836754.6999992,2867700.0,0.04230946007522916,307.44,306.471,-1.5175150530547512,6.877024984074221,320.2250499681484,292.7169500318516,301.6858678309038,5.706445592075685
98,2025-05-05,301.8,294.64,302.59,291.66,13480322823.399982,45508060.0,-0.18729233260303071,304.07714285714286,306.15549999999996,-1.487263875310532,7.27677015903144,320.7090403180628,291.6019596819371,296.98862261030126,5.68235452724258
99,2025-05-06,294.65,302.02,304.75,292.05,14773158821.500002,49327640.0,0.185743810866549,302.3328571428571,306.18199999999996,0.11870135740775822,7.259830794026593,320.7016615880531,291.6623384119468,300.3428742034337,5.707176707724217
100,2025-05-07,302.5,302.79,304.24,300.56,8976384139.900003,29667370.0,-0.063099265983236,301.38714285714286,306.4965,0.30893971225685846,6.947866219207312,320.3922324384146,292.6007675615854,301.9742914011446,5.709731411258612
101,2025-05-08,302.9,302.15,306.0,300.61,6320270506.899994,20811410.0,-0.0408381934027264,300.58,306.7045,0.34880595292446515,6.738929694028185,320.18235938805634,293.22664061194365,302.0914304670482,5.70760847948973
102,2025-05-10,303.53,302.38,304.0,301.7,631306314.7999998,2084470.0,-0.0474364661048269,300.92571428571426,306.7835,0.2876374747636419,6.675026729692357,320.1335534593847,293.4334465406153,302.2838101556827,5.708371926990008
103,2025-05-11,305.85,305.48,307.64,304.55,2502211997.600002,8172680.0,-0.04979150802424955,301.60857142857145,306.8175,0.09611279462029643,6.666117685729993,320.14973537146,293.48526462854,304.41460338522757,5.71860540354784
104,2025-05-12,307.53,310.81,311.49,307.26,10750497142.800013,34702020.0,0.07705425907855602,302.8957142857143,307.3575,0.07722179732866152,6.521508442716561,320.40051688543315,294.3144831145669,308.67820112840917,5.735959206351422
105,2025-05-13,310.8,311.24,312.5,309.61,7704228262.300001,24762720.0,0.0315276699477878,305.26714285714286,307.51349999999996,-0.37229425894582846,6.577781800961098,320.6690636019222,294.35793639807775,310.38606704280306,5.737346191494342
106,2025-05-14,311.5,304.21,313.71,304.04,8424502346.79999,27152010.0,-0.0907565156886525,305.58,307.1115,-1.3437920018844238,6.518490521908642,320.14848104381724,294.0745189561827,306.2686890142677,5.714425634754681
107,2025-05-15,304.2,304.72,307.77,300.49,14406540059.199997,47487250.0,0.022403251906637722,305.8557142857143,306.84749999999997,-1.0118362846910145,6.502248902454895,319.85199780490973,293.8430021950902,305.23622967142256,5.716106224345033
108,2025-05-16,304.7,306.34,308.88,296.56,19427040526.800003,63956680.0,0.05590967446084636,306.4542857142857,306.6565,-0.6911960918389468,6.455763866907253,319.5680277338145,293.74497226618547,305.97207655714084,5.721425909828796
109,2025-05-17,306.34,308.89,309.48,306.01,1477623227.9000003,4795590.0,0.06277211637114523,307.38428571428574,306.2665,-0.4767947440779494,6.039938371069506,318.346376742139,294.186623257861,307.91735885238023,5.729742576325733
110,2025-05-18,309.67,311.15,311.86,309.3,1679170653.4000003,5402510.0,-0.05772293152701019,308.19428571428574,305.94500000000005,-0.6191901118972396,5.557935531150298,317.06087106230063,294.82912893769947,310.0724529507934,5.737056051419127
111,2025-05-19,311.5,308.33,313.0,306.34,13788573869.600012,44498890.0,-0.08255882207345146,307.84000000000003,305.4525,-1.1972952106919479,4.801667336512184,315.0558346730244,295.8491653269756,308.91081765026445,5.727922088842681
112,2025-05-20,308.88,306.16,309.55,304.7,6083077283.300007,19810690.0,-0.06732024788283936,307.1142857142857,305.04900000000004,-1.430397865198188,4.342349473196508,313.7336989463931,296.364301053607,307.07693921675485,5.720836229222028
